,precision,recall,f1-score,support
No Dropout,0.8461538461538461,0.8773006134969326,0.8614457831325302,163.0
Dropout,0.5,0.43478260869565216,0.46511627906976744,46.0
accuracy,0.7799043062200957,0.7799043062200957,0.7799043062200957,0.7799043062200957
macro avg,0.6730769230769231,0.6560416110962923,0.6632810311011488,209.0
weighted avg,0.7699668752300332,0.7799043062200957,0.774215365970391,209.0
