,Regression,Classification
RMSE,3.653913745949923,
MAE,2.5799386501312256,
R²,0.13645672798156738,
Accuracy,,0.7799043062200957
Precision,,0.5
Recall,,0.43478260869565216
F1,,0.46511627906976744
ROC-AUC,,0.6933849026407042
